==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\23_DCIR_FCC_cyc\20230524\HNE_FCC_DCIR3_06_026.wrd
테스트 기간 : 2023-05-24 03:59:46 ~ 2023-05-27 03:12:59
데이터 개수 : 14477
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : F:\23_DCIR_FCC.cyc
단계 개수 : 24

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
55            	0:00:27:08.940	1             	0:00:27:08.940	3             	0:00:24:00.000	0.00000E+000  	2.66941E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.66941E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
56            	0:00:27:38.940	1             	0:00:27:38.940	3             	0:00:24:30.000	0.00000E+000  	2.67005E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67005E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
57            	0:00:28:08.940	1             	0:00:28:08.940	3             	0:00:25:00.000	0.00000E+000  	2.67052E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67052E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
58            	0:00:28:38.940	1             	0:00:28:38.940	3             	0:00:25:30.000	0.00000E+000  	2.67116E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67116E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
59            	0:00:29:08.940	1             	0:00:29:08.940	3             	0:00:26:00.000	0.00000E+000  	2.67179E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67179E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
60            	0:00:29:38.940	1             	0:00:29:38.940	3             	0:00:26:30.000	0.00000E+000  	2.67227E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67227E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
61            	0:00:30:08.940	1             	0:00:30:08.940	3             	0:00:27:00.000	0.00000E+000  	2.67290E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67290E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
62            	0:00:30:38.940	1             	0:00:30:38.940	3             	0:00:27:30.000	0.00000E+000  	2.67353E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67353E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
63            	0:00:31:08.940	1             	0:00:31:08.940	3             	0:00:28:00.000	0.00000E+000  	2.67401E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67401E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
64            	0:00:31:38.940	1             	0:00:31:38.940	3             	0:00:28:30.000	0.00000E+000  	2.67433E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67433E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
65            	0:00:32:08.940	1             	0:00:32:08.940	3             	0:00:29:00.000	0.00000E+000  	2.67480E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67480E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
66            	0:00:32:38.940	1             	0:00:32:38.940	3             	0:00:29:30.000	0.00000E+000  	2.67543E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67543E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
67            	0:00:33:08.940	1             	0:00:33:08.940	3             	0:00:30:00.000	0.00000E+000  	2.67607E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67607E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
68            	0:00:33:38.940	1             	0:00:33:38.940	3             	0:00:30:30.000	0.00000E+000  	2.67638E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67638E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
69            	0:00:34:08.940	1             	0:00:34:08.940	3             	0:00:31:00.000	0.00000E+000  	2.67702E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67702E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
70            	0:00:34:38.940	1             	0:00:34:38.940	3             	0:00:31:30.000	0.00000E+000  	2.67734E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67734E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
71            	0:00:35:08.940	1             	0:00:35:08.940	3             	0:00:32:00.000	0.00000E+000  	2.67781E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67781E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
72            	0:00:35:38.940	1             	0:00:35:38.940	3             	0:00:32:30.000	0.00000E+000  	2.67813E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67813E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
73            	0:00:36:08.940	1             	0:00:36:08.940	3             	0:00:33:00.000	0.00000E+000  	2.67876E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67876E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
74            	0:00:36:38.940	1             	0:00:36:38.940	3             	0:00:33:30.000	0.00000E+000  	2.67940E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67940E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
75            	0:00:37:08.940	1             	0:00:37:08.940	3             	0:00:34:00.000	0.00000E+000  	2.67955E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.67955E+000  	0.00000E+000  	0.00000E+000  	-2.30543E-005 	0.00000E+000  	101mA         
